Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,VANRPTV,146.940000,-,0.600000,Tone,136.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
1,NVANRPT,147.260000,+,0.600000,Tone,156.7,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
2,VANRPTU,443.525000,+,5.000000,Tone,136.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
3,VE7TEL,145.170000,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,"VE7TEL near Burnaby,  County, British Columbia OPEN",,,,
4,VE7RTY,145.210000,-,0.600000,Tone,110.9,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,"VE7RTY near Burnaby,  County, British Columbia OPEN",,,,
5,NORTH G,145.270000,-,0.600000,Tone,100.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,"VE7RHS near Vancouver,  County, British Columbia OPEN",,,,
6,MY. SEY,145.350000,-,0.600000,Tone,127.3,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,"VE7RBY near North Vancouver,  County, British Columbia OPEN",,,,
7,MOUNT G,146.720000,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,"VE7BNV near Bowne Island,  County, British Columbia OPEN Requires DTMF 1 to key it up.",,,,
8,MT SEYM,146.940000,-,0.600000,Tone,136.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,"VE7RPT near North Vancouver,  County, British Columbia OPEN System hub. Because of its wide footprint, this machine is generally used as a calling repeater, as well as for short QSO's. In the event of an emergency, this is one of the primary co-ordination frequencies used in the Lower Mainland by EMBC.",,,,
9,CHILLIW,146.960000,-,0.600000,Tone,110.9,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,"VA7CRC near Chilliwack,  County, British Columbia OPEN",,,,
