Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,BCSAR,149.495000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
1,CANSAR,149.080000,,0.000000,Tone,156.7,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
2,WB1 WHI,151.625000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
3,WB2 LIF,152.060000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
4,WB3 BLK,151.985000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
5,WB4 LIF,151.025000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
6,WB5 COM,150.770000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
7,WB6 COM,153.305000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
8,WB7 MTN,164.580000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
9,CAA,166.050000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
10,ACMG,173.640000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
11,PEPSAR2,149.525000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
12,PEPCOOR,148.655000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
13,PEP EP1,148.685000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
14,WHSPAT*,151.625000,+,18.555000,Tone,103.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,4.0W,,,,,
15,BLKPAT*,151.985000,-,0.840000,Tone,110.9,88.5,023,NN,023,Tone->Tone,NFM,5.00,,4.0W,,,,,
16,BLKHELI,162.870000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
17,BLKHEL*,162.870000,+,4.140000,Tone,131.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
18,WHSHELI,150.575000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
19,WHSHEL*,150.575000,+,8.940000,Tone,123.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
20,DUFMOT*,143.295000,+,4.990000,Tone,114.8,88.5,023,NN,023,Tone->Tone,NFM,5.00,,4.0W,,,,,
21,WHSHEL*,150.575000,+,8.940000,Tone,123.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
22,SAR,149.080000,,0.000000,Tone,156.7,88.5,023,NN,023,Tone->Tone,FM,5.00,,4.0W,,,,,
