Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,WTHR 1,162.400000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,4.0W,,,,,
1,WTHR 2,162.425000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,4.0W,,,,,
2,WX5PA3,162.450000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,4.0W,,,,,
3,WTHR 3,162.475000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,4.0W,,,,,
4,WX6PA5,162.500000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,4.0W,,,,,
5,WTHR 4,162.525000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,4.0W,,,,,
6,WTHR 5,162.550000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,4.0W,,,,,
7,WX8,161.650000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,4.0W,,,,,
8,WX9,161.775000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,4.0W,,,,,
9,WX10,163.275000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,S,4.0W,,,,,
